id,R_onHS1,R_offHS1,L_onHS1,L_offHS1,L_SKHS1,R_onHS2,R_offHS2,L_onHS2,L_offHS2,L_SKHS2,overshoot_vgs1,damping_vgs1,vgs1_min,overshoot_vgs2,damping_vgs2,vgs2_min
0,6.289223440922797,1.575720083899796,4.774892189828679e-08,4.494494612878189e-09,4.257089504273608e-08,12.167250439990312,7.593694223091006,3.5635052787503225e-08,9.72118341599591e-09,4.5123844895083456e-08,3.6072998,0.062413349747657776,-9.312866,1.2564883,0.017379410564899445,-11.974348
1,0.5853355736471713,1.575720083899796,4.774892189828679e-08,4.494494612878189e-09,4.257089504273608e-08,12.167250439990312,7.593694223091006,3.5635052787503225e-08,9.72118341599591e-09,4.5123844895083456e-08,5.367859,0.05298328027129173,-9.504456,1.2563038,0.017375582829117775,-11.797145
2,6.289223440922797,9.729432117659599,4.774892189828679e-08,4.494494612878189e-09,4.257089504273608e-08,12.167250439990312,7.593694223091006,3.5635052787503225e-08,9.72118341599591e-09,4.5123844895083456e-08,3.8545227,0.05583532527089119,-9.632019,1.2566404,0.0173831507563591,-11.390705
3,6.289223440922797,1.575720083899796,4.898076781301759e-08,4.494494612878189e-09,4.257089504273608e-08,12.167250439990312,7.593694223091006,3.5635052787503225e-08,9.72118341599591e-09,4.5123844895083456e-08,3.6085815,0.06261175870895386,-9.625244,1.2565441,0.017380651086568832,-11.831739
4,6.289223440922797,1.575720083899796,4.774892189828679e-08,4.1843792147999626e-08,4.257089504273608e-08,12.167250439990312,7.593694223091006,3.5635052787503225e-08,9.72118341599591e-09,4.5123844895083456e-08,2.8253784,0.02877294085919857,-9.884888,1.2566752,0.017383845522999763,-11.287777
5,6.289223440922797,1.575720083899796,4.774892189828679e-08,4.494494612878189e-09,5.4545761291123924e-08,12.167250439990312,7.593694223091006,3.5635052787503225e-08,9.72118341599591e-09,4.5123844895083456e-08,4.000366,0.05546073988080025,-9.880676,1.2563434,0.017376484349370003,-11.410104
6,6.289223440922797,1.575720083899796,4.774892189828679e-08,4.494494612878189e-09,4.257089504273608e-08,13.847890464123338,7.593694223091006,3.5635052787503225e-08,9.72118341599591e-09,4.5123844895083456e-08,3.612976,0.06249192729592323,-9.4973755,1.0122318,0.011994720436632633,-11.726717
7,6.289223440922797,1.575720083899796,4.774892189828679e-08,4.494494612878189e-09,4.257089504273608e-08,12.167250439990312,14.640174568630755,3.5635052787503225e-08,9.72118341599591e-09,4.5123844895083456e-08,3.6058655,0.06239122152328491,-9.456299,1.4828925,0.02152630127966404,-11.9410095
8,6.289223440922797,1.575720083899796,4.774892189828679e-08,4.494494612878189e-09,4.257089504273608e-08,12.167250439990312,7.593694223091006,5.448465789520181e-08,9.72118341599591e-09,4.5123844895083456e-08,3.6064453,0.06240672245621681,-9.634766,1.3320265,0.018664564937353134,-11.814705
9,6.289223440922797,1.575720083899796,4.774892189828679e-08,4.494494612878189e-09,4.257089504273608e-08,12.167250439990312,7.593694223091006,3.5635052787503225e-08,2.1741831653220582e-08,4.5123844895083456e-08,3.6098633,0.06241387501358986,-9.622681,1.2337317,0.016555946320295334,-11.661608
10,6.289223440922797,1.575720083899796,4.774892189828679e-08,4.494494612878189e-09,4.257089504273608e-08,12.167250439990312,7.593694223091006,3.5635052787503225e-08,9.72118341599591e-09,4.0590703732678666e-08,3.6111755,0.062474194914102554,-9.52832,1.1517997,0.01508435606956482,-11.428724
11,0.5853355736471713,9.729432117659599,4.898076781301759e-08,4.1843792147999626e-08,5.4545761291123924e-08,13.847890464123338,14.640174568630755,5.448465789520181e-08,2.1741831653220582e-08,4.0590703732678666e-08,13.026489,0.09301764518022537,-9.754578,1.0819254,0.01356799528002739,-11.221421
